ID,YEAR,SITE,FIELD,FARM,YIELD,FSIZE,WDEPT,IRRI,DARI,MOW1,MOW2,VEG1,VEG2,CFERT,HRBF,HRBL,INSE.A,INSE,ROTA,FLOD,PLNTA,PLNTR,SPIDR,DRGNF,CLPTR,FROGR,PLPHY,HYLA,TADPL,LOACH,EFPLT,EFSPI,EFDRG,EFCLP,EFFRG,EFTRP
1,1,SY,SYK01,0,480,2980,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,3,2,NA,0,0,2,0,27,NA,NA,3,NA,80,10,80,NA
2,1,SY,SYK02,0,480,2950,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,3,0,2,0,0,2,0,13,NA,NA,3,40,80,10,160,NA
3,1,SY,SYK03,0,480,1080,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,4,2,0,0,0,1,0,60,NA,NA,3,40,80,10,80,NA
4,1,SY,SYK04,0,570,3410,15,25,30,3,9,NA,NA,17.1,2,3,1,0,0,0,6,2,NA,0,0,1,0,82,NA,NA,3,NA,80,10,80,NA
5,1,SY,SYK05,0,480,2560,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
6,1,SY,SYK06,0,480,2520,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
7,1,SY,SYK07,0,480,2080,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
8,1,SY,SYK08,0,480,3440,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
9,1,SY,SYK09,0,480,2880,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,4,2,0,NA,NA,NA,NA,NA,NA,NA,3,40,NA,NA,NA,NA
10,1,SY,SYK10,0,480,2730,4,25,34,3,9,NA,NA,11.04,1,0,1,1,0,0,4,3,0,NA,NA,NA,NA,NA,NA,NA,3,40,NA,NA,NA,NA
11,1,SY,SYT03,1,480,2570,10,24,29,3,9,NA,NA,0,3,0,1,0,0,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
12,1,SY,SYT05,1,480,2840,10,24,29,3,9,NA,NA,0,3,0,1,0,0,0,9,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
13,1,SY,SYT07,1,480,2990,10,24,29,3,9,NA,NA,0,3,0,1,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
14,1,SY,SYT08,1,480,2880,10,24,29,3,9,NA,NA,0,3,0,1,0,0,0,3,2,2,NA,NA,NA,NA,NA,NA,NA,3,40,NA,NA,NA,NA
15,1,SY,SYT09,1,480,2890,10,24,29,3,9,NA,NA,0,3,0,1,0,0,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,3,40,NA,NA,NA,NA
16,1,SY,SYT10,1,480,3050,10,24,29,3,9,NA,NA,0,3,0,1,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
17,1,SY,SYY01,2,480,2930,10,24,29,3,9,NA,NA,0,0,0,0,0,0,0,5,1,3,2,0,2,0,22,NA,NA,3,40,80,10,80,NA
18,1,SY,SYY02,2,480,2850,10,24,29,3,9,NA,NA,0,0,0,0,0,0,0,6,2,1,20,0,2,0,32,NA,NA,3,40,80,10,80,NA
19,1,SY,SYY04,2,480,2840,10,24,29,3,9,NA,NA,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
20,1,SY,SYY06,2,480,2840,10,24,29,3,9,NA,NA,0,0,0,0,0,0,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
21,1,TS,TSK01,0,580,2920,20,48,27,3,9,NA,NA,24.94,2,2,1,0,1,0,5,2,6,0,0,1,0,215,NA,NA,3,40,80,10,80,NA
22,1,TS,TSK02,0,580,2929,20,48,27,3,9,NA,NA,24.94,2,2,1,0,1,0,5,2,6,0,0,1,0,324,NA,NA,3,40,80,10,80,NA
